"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","color",84,6,"B","motar","leg","shared",NA,NA,"#AE84A4",60,22,-11,1,0,"attract"
1,1,"main","part",85,6,"A","praxa","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",85,6,"A","denor","tail","unique",NA,NA,"#C6804C",60,22,39,0,0,"orthogonal"
1,1,"main","part",86,6,"A","nodon","head","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",86,6,"B","sorex","back","shared",NA,NA,"#9287D5",60,22,-39,0,1,"target"
1,1,"main","part",87,6,"A","denor","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",87,6,"A","denor","leg","shared",NA,NA,"#D37955",60,31.89949494,34.89949494,0,1,"target"
1,1,"main","part",88,6,"B","volar","head","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",88,6,"B","gavan","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
1,1,"main","part",89,6,"B","gavan","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",89,6,"A","funda","head","shared",NA,NA,"#AD8A65",60,8,25,0,1,"target"
1,1,"main","part",90,6,"B","sorex","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",90,6,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",91,6,"B","motar","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",91,6,"A","praxa","leg","unique",NA,NA,"#CC7A78",60,31.89949494,15.10050506,1,0,"attract"
1,1,"main","part",92,6,"B","volar","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",92,6,"A","nodon","back","shared",NA,NA,"#AF8877",60,12.10050506,15.10050506,1,0,"attract"
1,1,"main","part",93,6,"A","funda","head","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",93,6,"A","nodon","head","unique",NA,NA,"#BC827E",60,22,11,1,0,"attract"
1,1,"main","part",94,6,"A","denor","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",94,6,"B","sorex","head","unique",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
1,1,"main","part",95,6,"B","sorex","head","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",95,6,"A","funda","back","unique",NA,NA,"#B78753",60,12.10050506,34.89949494,0,1,"target"
1,1,"main","part",96,6,"B","motar","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",96,6,"B","volar","back","unique",NA,NA,"#878EBC",60,8,-25,1,0,"attract"
2,1,"main","part",1,1,"A","funda","tail","unique",2,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",1,1,"B","motar","leg","shared",NA,NA,"#828DCE",60,12.10050506,-34.89949494,0,0,"orthogonal"
2,1,"main","part",2,1,"B","denor","head","unique",2,0,NA,NA,NA,NA,NA,NA,NA
